========================================
FPGA-FRIENDLY NETWORK (256-128-64)
Enhanced with lagged features & time index
========================================

Input features: 21 (lag=20 + time index)
Samples after lagging: 116381
Data split: Train=81466, Val=17457, Test=17458

Training Configuration:
  Optimizer: SGDM (momentum 0.9)
  Max epochs: 800
  L2 regularization: 0.0001

=== Starting Training ===
Training on single CPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      22 |        1680 |       00:00:33 |         0.08 |         0.09 |       0.0035 |       0.0037 |          0.0100 |
|      22 |        1710 |       00:00:33 |         0.08 |         0.09 |       0.0035 |       0.0037 |          0.0100 |
|      23 |        1740 |       00:00:34 |         0.08 |         0.09 |       0.0032 |       0.0037 |          0.0100 |
|      23 |        1770 |       00:00:34 |         0.08 |         0.09 |       0.0034 |       0.0037 |          0.0100 |
|      23 |        1800 |       00:00:35 |         0.08 |         0.09 |       0.0035 |       0.0037 |          0.0100 |
|      24 |        1830 |       00:00:35 |         0.08 |         0.09 |       0.0032 |       0.0036 |          0.0100 |
|      24 |        1860 |       00:00:36 |         0.08 |         0.09 |       0.0034 |       0.0036 |          0.0100 |
|      24 |        1890 |       00:00:36 |         0.08 |         0.08 |       0.0035 |       0.0036 |          0.0100 |
|      25 |        1920 |       00:00:36 |         0.08 |         0.08 |       0.0031 |       0.0036 |          0.0100 |
|      25 |        1950 |       00:00:37 |         0.08 |         0.08 |       0.0032 |       0.0035 |          0.0100 |
|      26 |        1980 |       00:00:37 |         0.08 |         0.08 |       0.0034 |       0.0035 |          0.0100 |
|      26 |        2010 |       00:00:38 |         0.09 |         0.08 |       0.0039 |       0.0035 |          0.0100 |
|      26 |        2040 |       00:00:38 |         0.09 |         0.08 |       0.0037 |       0.0035 |          0.0100 |
|      27 |        2070 |       00:00:39 |         0.09 |         0.08 |       0.0036 |       0.0035 |          0.0100 |
|      27 |        2100 |       00:00:39 |         0.09 |         0.08 |       0.0037 |       0.0035 |          0.0100 |
|      27 |        2130 |       00:00:39 |         0.08 |         0.08 |       0.0034 |       0.0034 |          0.0100 |
|      28 |        2160 |       00:00:40 |         0.08 |         0.08 |       0.0035 |       0.0036 |          0.0100 |
|      28 |        2190 |       00:00:40 |         0.08 |         0.08 |       0.0035 |       0.0035 |          0.0100 |
|      29 |        2220 |       00:00:41 |         0.09 |         0.08 |       0.0036 |       0.0035 |          0.0100 |
|      29 |        2250 |       00:00:41 |         0.08 |         0.08 |       0.0036 |       0.0034 |          0.0100 |
|      29 |        2280 |       00:00:42 |         0.08 |         0.08 |       0.0034 |       0.0035 |          0.0100 |
|      30 |        2310 |       00:00:42 |         0.09 |         0.08 |       0.0037 |       0.0034 |          0.0100 |
|      30 |        2340 |       00:00:42 |         0.08 |         0.08 |       0.0035 |       0.0033 |          0.0100 |
|      30 |        2370 |       00:00:43 |         0.08 |         0.08 |       0.0031 |       0.0033 |          0.0100 |
|      31 |        2400 |       00:00:43 |         0.09 |         0.08 |       0.0038 |       0.0034 |          0.0100 |
|      31 |        2430 |       00:00:44 |         0.08 |         0.08 |       0.0033 |       0.0033 |          0.0100 |
|      32 |        2460 |       00:00:44 |         0.08 |         0.08 |       0.0032 |       0.0034 |          0.0100 |
|      32 |        2490 |       00:00:45 |         0.09 |         0.08 |       0.0037 |       0.0034 |          0.0100 |
|      32 |        2520 |       00:00:45 |         0.08 |         0.08 |       0.0032 |       0.0034 |          0.0100 |
|      33 |        2550 |       00:00:46 |         0.08 |         0.08 |       0.0034 |       0.0033 |          0.0100 |
|      33 |        2580 |       00:00:46 |         0.08 |         0.08 |       0.0032 |       0.0033 |          0.0100 |
|      34 |        2610 |       00:00:46 |         0.09 |         0.08 |       0.0038 |       0.0032 |          0.0100 |
|      34 |        2640 |       00:00:47 |         0.08 |         0.08 |       0.0035 |       0.0032 |          0.0100 |
|      34 |        2670 |       00:00:47 |         0.08 |         0.08 |       0.0028 |       0.0033 |          0.0100 |
|      35 |        2700 |       00:00:48 |         0.08 |         0.08 |       0.0034 |       0.0032 |          0.0100 |
|      35 |        2730 |       00:00:48 |         0.07 |         0.08 |       0.0028 |       0.0032 |          0.0100 |
|      35 |        2760 |       00:00:49 |         0.08 |         0.08 |       0.0031 |       0.0032 |          0.0100 |
|      36 |        2790 |       00:00:49 |         0.08 |         0.08 |       0.0031 |       0.0032 |          0.0100 |
|      36 |        2820 |       00:00:50 |         0.07 |         0.08 |       0.0027 |       0.0032 |          0.0100 |
|      37 |        2850 |       00:00:50 |         0.08 |         0.08 |       0.0028 |       0.0032 |          0.0100 |
|      37 |        2880 |       00:00:50 |         0.08 |         0.08 |       0.0031 |       0.0033 |          0.0100 |
|      37 |        2910 |       00:00:51 |         0.07 |         0.08 |       0.0025 |       0.0032 |          0.0100 |
|      38 |        2940 |       00:00:51 |         0.08 |         0.08 |       0.0031 |       0.0031 |          0.0100 |
|      38 |        2970 |       00:00:52 |         0.08 |         0.08 |       0.0031 |       0.0031 |          0.0100 |
|      38 |        3000 |       00:00:52 |         0.08 |         0.08 |       0.0030 |       0.0031 |          0.0100 |
